quote	source
This time you aren't escaping. It's time for a heart transplant.	Poppet, Sveta
I've known you forever, and you are only just remembering me.	Poppet, Aisyx
I loathe being crimped into this deplorable position on the vampyre chessboard.	Poppet, Ryan
Inhaling, I am ignited with the first breath of freedom	Poppet, Aisyx
I'm a tundra with wind endlessly blowing a hollow tunnel through me.	Poppet, Ryan
He gives me the stare that only men can do. The mouth tightening exasperation stare.	Poppet, Ryan
Look into my eyes and deny me.	Poppet, Aisyx
she's so caught up she's unaware she's no longer the prisoner here, I am	Poppet, Aisyx
In truth the issue is that we are so powerful what we believe becomes our reality.	Poppet, Aisyx
I do so love the art of severing boundaries	Poppet, Aisyx
He's a contradiction and that's why he's so perfect.	Poppet, Aisyx
I'm the riddle you have yet to solve	Poppet, Aisyx
in my darkest hour she answered my call without resentment or guilt, without hesitation	Poppet, Aisyx
Do not feed fear. Starve it.	Poppet, Aisyx
His touch cable knits my veins, remaking and remolding who I am.	Poppet, Aisyx
You failed her when you turned your back on what you are.	Poppet, Aisyx
For why war? Nada ne hurt, sister ne hurt, for why you make vesna sore? For why!	Poppet, Aisyx
Who knows what real really is...	Poppet, Aisyx
Your lack of questioning and curiosity has been the bane of my existence.	Poppet, Aisyx
The flock mirror the madness of their liege.	Poppet, Aisyx
Fear only has power when I cower under the illusion.	Poppet, Aisyx
Lady, you have just become a wanted woman. I suggest you start running.	Poppet, Aisyx
Free your mind, Jowendrhan. A cage is only a cage as long as you believe it is.	Poppet, Aisyx
Kin is a shortened term for kinetic. Kinetic means to move. All that moves is your kin	Poppet, Aisyx
It shatters the game, exposing the players	Poppet, Aisyx
I'm already inside your head. And your body's most definitely next.	Lindsay J. Pryor
The wolves wait for you, little lamb.	Keri Lake, Soul Avenged
He hissed and rocked his hips into her. “You like to bite?”“I’m a cat, aren’t I?	Lia Davis, Winter Eve
Leave it to her to want to pet a monster.	Sara Trimble, Heart Over Mind
Are you always so mistrusting?” he said, lifting a brow.“When my escort is a demon, yes.	Lia Davis, Death's Storm
Love indulged the masochist.	Jaime Reed, Living Violet
A liar lies to others. A fool lies to herself.	Sable Grace, Bedeviled
What passes thelips goes straight to the hips.	Lisa Sanchez, Eve of Samhain
Chase's look was hot, wicked, and not appropriate for minors.	Milly Taiden, Sharp Change
This is me figuring good behavior is for someone much younger." --Kestrel	Sarah Purdy Gilman
I'm looking forward to the noose. Nothing better than a good hanging.	Victoria Lamb
Taking advantage of me in my sleep, archangel?” --Gin	Sarah Purdy Gilman
I’m almost used to you showing up without shoes, but where the hell are your pants?	Dani Harper
I prescribe a quick jerk off in the shower and a return to sanity. (Dr. Hugo Peralta)	Kate Richards, An Apple Away
These women rob me of my mind. And I don’t care.~Dr. Hugo Peralta	Kate Richards, An Apple Away
The people you love become ghosts inside of you, and like this you keep them alive.	Rob Montgomery
Identity is memory; when memory disappears, the self dissolves and love with it.	John Lahr
Touch has a memory. O say, love, say,What can I do to kill it and be free?	John Keats
Without memory there can be no insight. Without love, there can be no appreciation.	Anne Rice
I would far prefer to be in someone's arms than just in their head.	D.S. Mixell
The first time he saw her she reminded him of a distant memory of falling from a height.	Vatsal Surti, On Love
Sometimes the memory of someone is better than the reality of them.	Steve Maraboli
Memory is all I have now	James Patterson, First Love
Love is Short, Remembering is long	Jack Waddell
Happiness is in love, in service, and in beautiful memory.	Debasish Mridha
Life is a journey, education is our pleasure and our memory.	Debasish Mridha
The magic of love is that it becomes our memory which we never can forget.	Debasish Mridha
When your heart knows the truth, it never forgets.	Shannon L. Alder
I am hopelessly in love with a memory. An echo from another time, another place.	Michel Foucault
Fantasies... who needs fantasies? I have memories.	B.J. Neblett
Wish for the best, prepare for the worst	Ary Hidayat
Maybe you are a memory who is supposed to live forever.	Saleem Sharma
I don't want to break my memories with you.	Arzum Uzun
...your memory is a warm stone hidden in my hand I'm always turning over...	John Geddes, A Familiar Rain
...I want to live doubly - first with you and then afterwards in memory ...	John Geddes, A Familiar Rain
...I've decided ... love is an eternity of slow motion replays ...	John Geddes, A Familiar Rain
The undead did not love, but they remembered love with a savage loyalty.	Kim Harrison, A Perfect Blood
Magic lies in the little things	Tiki Kos
Maybe you're holding on too tight, and the magic comes in letting go.	Scott Stabile
If love is an illusion, you must be pure magic.	Timothy Joshua
Love is when her smile act as a magic wand to vanish whole day fatigue...!!	Akansh Malik
Because i am magic and,you are my precious stone.	Marty Bisson milo
Since that night you walked through my dreams, the world is full of magic things.	David Paul Kirkpatrick
Magic to be its best must be unexpected".	Kristin Hannah
I didn’t know I was looking for you, but I was,” he whispered.	Thea Harrison, Moonshadow
Magic is always an illusion and love a magic of illusion.	Amit Abraham
Things are wonderful when we look at them with magic in our hearts.	Debasish Mridha
the nights would be orphaned without the sound of crickets chirping.	Sanober  Khan
Love is a magical shelter where you will feel yourself safe beneath it!	Mehmet Murat ildan
If I am going to be a monster, the least I could do is be well fed!	Cristina M. Sburlea, 19/21
your gazeacrossmy cheeksturned theminto strawberry fields.	Sanober  Khan
Love is a spell created by mortals	Kami Garcia
Oooh, sneaky, I thought. Must be how normal mothers operate instead of yelling.	Marilee Brothers, Moon Rise
Beck stabbed a hand through his hair and continued.	Marilee Brothers, Moon Rise
If you never tell anyone the truth about yourself, eventually you start to forget.	Cassandra Clare
Life is magical! You are magic!	Debasish Mridha
Dr Adachi The Great Spell Caster That Helped Me Brings back My Ex Husband	
Maybe magic and love, together, can achieve what magic alone cannot.	Dean Koontz
Logic only gives man what he needs,” he stammered. “Magic gives him what he wants.	Tom Robbins
Patience is the virtue that forges great men.	Chris Vincent, The Prisoner
I believe that love, like magic, casts its own spell of enchantment.	Debbie Herbert
I don’t know about black or white magic I just know one type and that is your magic.	M.F. Moonzajer
Lovers are the coolest their hearts beat the best & they kiss magic as hell	Mark Leidner
...the magic of love runs at cross purposes with the rhythm of living...	John Geddes, A Familiar Rain
Her eyes were like the sea before a storm on the Carolina coast.	Kami Garcia
Every little thing she does is magic.	The Police
Success is hard, rewards are scant and the glory not always there.	Billie-Jo Williams
What do you think of allthis, darlin’? Will you be my soul mate?	Ann Macela
Love is magic in its rawest form.	Anne Rainey, Touching Lace
Call me crazy, but there is something terribly wrong with this city.	Nathan Reese Maher
Did Bach ever eatpancakes at midnight?	Nathan Reese Maher
There was a feeling on the air like the eve of the end of the world...	Billie-Jo Williams
Love never fails but people fails in how to love-Jesus never fails	tirumala
Sin bites bitter. But oh, the sweet taste of salvation, that stirs the spirit!	Anthony Liccione
Let all that you do be done in love.	1 Corinthians 16 14
The only river i would like to be drown is the river filled with the blood of Jesus.	Michael Bassey Johnson
Why are you touchin	Tahereh Mafi, Shatter Me
Behold I do not give lectures or a little charity, when I give I give myself.	Walt Whitman
A dog has the soul of a philosopher.	Plato
Everyone has baggage, maybe we should help each other carry it.	Rob Liano
I want the white one	Sarah Dessen, Lock and Key
Be the love the world needs. Think and act from your heart.	Nanette Mathews
There are times that all you need is someone who will listen to you without judging you	Bernard Kelvin Clive
Look at every creature from the window of compassion with the eyes of love!	Mehmet Murat ildan
Fall open. Break open. Sit with others' openness. Let love be your medicine.	Vironika Tugaleva
Only love and compassion can bring true and lasting transformation	Rasheed Ogunlaru
She had stars in her eyes and galaxies in her veins	Rosie Perry
Transition isn't pretty, but stagnation is hideous.	Nikki Rowe
Try to show grace, mercy and compassion, for one day you may need them.	Wayne Gerard Trotman
Kindness that turns to bitterness when it is not appreciated was never kindness at all.	Vironika Tugaleva
Nothing has value without self worth	Rasheed Ogunlaru
To help people, love them. Then, they help themselves.	Vironika Tugaleva
Be Relentless in your Compassion for it is Your Power.	Odille Rault
I have never had better opinions of woman than I had of her	Thomas Cranmer
You must love and respect yourself enough to never be a victim under any circumstance.	Gary   Hopkins
If kindness isn't your strong suit, then you need to change clothes.	Donna Marie Timney
An act of kindness is uplifting to the soul.	Lailah Gifty Akita
Kindness is like a warm blanket of snow, softly covering and gently touching the heart.	Heather Wolf, A Snowy Day
All work done with love is healing work.	Eric Micha'el Leventhal
If you don't love yourself, it makes you incapable of knowing how to love another person.	Ellen J. Barrier
He who fights is powerless, but he who loves is power itself.	Eric Micha'el Leventhal
Ayurveda teaches us to love "as is" - not as we think people "should be.	Lissa Coffey
No tear, is a wasted tear, if it spills out for love, whether in good times or bad.	Anthony Liccione
Tread softly because you tread on my dreams	W.B. Yeats
True kindness ennobles the giver	Jocelyn  Murray
Love is my decision to make your problem my problem.	Robert A. Schuller
